PERIOD,YEAR,STATS_VALUE
February,2022,16.2
March,2022,15.3
April,2022,12.4
May,2022,10.7
June,2022,7.7
July,2022,6.4
August,2022,8.5
September,2022,9.7
October,2022,10.6
November,2022,15.2
December,2022,16.2
January,2023,17.6
February,2023,18.3
March,2023,14.8
April,2023,13.1
May,2023,11.1
June,2023,8.1
July,2023,6.6
August,2023,6.4
September,2023,10.8
October,2023,11.6
November,2023,13
December,2023,16.7
January,2024,18.4
February,2024,16.9
March,2024,13.7
April,2024,12.1
May,2024,6.9
June,2024,7.2
July,2024,6.6
August,2024,7.8
September,2024,9.9
October,2024,12.1
November,2024,14.2
December,2024,17.1
January,2025,15.3
February,2025,16.8
March,2025,15.3
April,2025,12.7
